,full_text,full_text_eng,classification,classification naive bayes
370,personil bhabinkamtibmas laksana sambang dialogis ds mekarsari kec anyar sekaligus laksana cooling system menciptidakan situasi kondusif jelang milu 2024 wilayah hukum polsek anyar,personnel of Bhabinkamtibmas like dialogic sambang ds Mekarsari Anyar kec as well as a cooling system created a conducive situation ahead of miles 2024 the jurisdiction of the new police station ,Positif,Positif
371,hidup penuh cinta siapa ga senang ambon luar biasa yuk tetap dukung ganjar mahfud milu 2024,Life full of love who is not happy Ambon lets keep supporting Ganjar Mahfud Milu 2024 ,Positif,Positif
372,generasi muda yakin calon pimpin tepat indonesia ganjar pranowomahfud md visi yang bumi,The younger generation believes that the candidate for the exact leader of Indonesia Ganjar Pranowomahfud MD Visi that the earth ,Positif,Positif
373,arti orba emang udah nyata2 bangkit era jokowi sebentar demo besar2an habis pemilu2024 segala elemen masyarakat,The meaning of the New Order has already risen the Jokowi era for a while the big demonstration has finished the 2024 Election of all elements of society ,Positif,Positif
374,jujur baru kali gue open khawatir sama milu bagi gue milu 2024 masamasa buat gue melanjuntukan hidup depan jadi milih pimpin tahun sangat berkonantiibusi besar buat gue depan,Honestly I only worried about Milu for me MILU 2024 MASAMASA for me to continue my life so I chose to lead the year very much contributed to me in the future ,Positif,Positif
375,personil bhabinkamtibmas laksana sambang dialogis ds tambang ayam kec anyar sekaligus laksana cooling system menciptidakan situasi kondusif jelang milu 2024 wilayah hukum polsek anyar,Bhabinkamtibmas personnel like dialogic sambang ds ds mining chicken kec Anyar as well as a cooling system created a conducive situation ahead of MILU 2024 Jurisdiction of Anyar Police Station ,Negatif,Positif
376,satgas damai cartenz ikut andil milu 2024 kepala operasi damai cartenz 2024 kombes pol dr faizal ramadhani s sos sik mh menyatidakan pihak libat aman giat milu tahun 2024 serang kelompok kriminal senjata kkb papua,The Damai Cartenz Task Force took part in MILU 2024 Head of the Cartenz Damai Operation 2024 Kombes Pol Dr Faizal Ramadhani S Sos SIK MH said that the SUBBU SABU SAFE MILU in 2024 Serang Serang Criminal Group KKB Papua weapons ,Positif,Positif
377,rapat tahap 7 susun dapatb milu 2024,Translatedsrcms desten textMeeting Level 7 Sorting Milu 2024 ,Netral,Positif
378,haji endang rela bagibagi sembako menantidakan iwan prabowo milu 2024,Haji Endang is willing for the food to monitor Iwan Prabowo Milu 2024 ,Positif,Positif
379,gera haji endang menang iwan bule prabowo milu 2024,Gera Haji Endang won Iwan Bule Prabowo Milu 2024 ,Netral,Positif
380,baik paham bagai konsekuensi tidak pilih partai demokrat kader milu 2024,good understanding as the consequences of not choosing the Democratic Party of Milu Cadre 2024 ,Positif,Positif
381,calon pimpin tepat indonesia ganjar pranowomahfud md gugah semangat milenial satu maju bangsa,Candidate for the right leader of Indonesia Ganjar Pranowomahfud MD is idioted millennial one advanced nation ,Positif,Positif
382,milu 2024 catat dlm sejarah dunia jadi milu paling keri bangsa indonesia ketidakjujuran ketidakadilan ketidaknetralan ketidakprofesionalan munafik mungkar jadi leluasa moga alloh swt jauh malapetidaka bangsa aamiin,MILU 2024 Recorded in the history of the world to become the most cheerful Indonesian nations dishonesty dishoning of disproption which is hypocritical so it is free ,Positif,Positif
383,lokasi ksampaianye ganjar malang pepet kubu prabowo,Location of Ganjar Malang Kubu Prabowo ,Netral,Positif
384,aniesamauhaimin minta dukung aman suara tapis,Translatedsrcms desten textAniesamanimin asks for a peaceful support ,Positif,Positif
385,surya paloh sebut indikasi milu 2024 jalan jurdil,SURYA PALOH CALL INDICATION MILU 2024 Jalan Jurdil ,Netral,Positif
386,calon wakil presiden mahfud md bicara hadap sanantii pondok pesanantien darussalam blokagung banyuwangi beri nasehat saran kait milu 2024 mahfud md anjur keluarga besar ponpes darussalam ikut sukses agenda bangsa milu 2024,Candidate Vice President Mahfud MD Talking to Sanantii Pondok Messageien Darussalam Blokagung Banyuwangi Give Advice Advice for Milu Hooks 2024 Mahfud MD Advanced Family of Darussalam Ponpes Darussalam participated in the successful agenda of the 2024 MILU Nation ,Positif,Positif
387,jumlah aktivis 98 ajak kaum milenial kritis pilih calon pimpin milu 2024 diskusi kritis gelar di,Number of activists 98 Invites Millennial Critical Choose Candidates Lead Milu 2024 Critical Discussion of Degree in ,Netral,Positif
388,badan awas milu bawaslu jakarta hari selasa desak mahasiswa partisipasi pantau milu tapis sekitar kota metropolitan hari mungut suara,Agency aware of Milu Bawaslu Jakarta on Tuesday Urges Students to Monitor Milu Tapis Monitor around Metropolitan City ,Positif,Positif
389,ganjar pranowomahfud md calon pimpin tepat indonesia bangun mitra kuat kelompok muda wujud visi sama,Ganjar Pranowomahfud MD Prospective Leaders of Indonesia Build Strong Mitra Mitra Groups The Form of the same Vision ,Positif,Positif
390,antisipasi rawan milu 2024 power on hands polres taban gelar latih dalmas,Anticipate Prone Milu 2024 Power on Hands Polres Taban Holds Dalmas Training ,Netral,Positif
391,pilih utamaamin no1 pilih caleg pks nasdem pkb ummat hancur hancur hancur siapa buat curang milu 2024 dah bosen ntidak ubah hidup cari uang sulit pilih ubah anak2 ku gen milineal z pilib amin ada meritokrasi,Choose the main guarantee no1 select PKS candidate NasDem PKB UMMAT destroyed destroyed who made a cheating mile 2024 already bored not to change life looking for money difficult to choose changes my children Milineal Z Pilib Amin There is a meritocracy ,Negatif,Positif
392,2024 milu wasit,Translatedsrcsu desten text2024 followed the referee ,Netral,Positif
393,calon pimpin tepat indonesia ganjar pranowomahfud md menciptidakan atmosfer pimpin dorong inovasi agam,Candidate for the Right Leads of Indonesia Ganjar Pranowomahfud MD created the atmosphere of leading the push of the Agam innovation ,Positif,Positif
394,milu 2024 papua menciptidakan momentum ubah positif lalu partisipasi aktif rakyat,MILU 2024 Papua created a positive change momentum and then the active participation of the people ,Positif,Positif
395,fanik yah pak gegara ksampaianye daerah daerah anyeb aneh aja kok hrs fanik 02 kan dukung panitia milu optimis optimis,Fanik yes Mr Ggara Ksempanye the regional Anyeb area is strange how come the fanik 02 is supporting the Milu committee optimistically optimistic ,Positif,Positif
396,kapolres metro tangerang kota kombes pol zain dwi nugroho sh sikmsi laksana giat tinjau kece gudang logistik milu 2024 kesiap personil aman ppk kec cipondoh gor gondrong kel gondrong kec cipondoh selasa 30 januari 2024,Kapolres Metro Tangerang City Kombes Pol Zain Dwi Nugroho SH SIKMSI like GIGHTY REVIEW LOGISTIC WAREHOUSE MILU 2024 EXPERIENCE PPK PPK Kec Cipondoh Gor Gondrong Kel Gondrong Kec Cipondoh Tuesday 30 January 2024 ,Netral,Positif
397,dekalarasi milu damai 2024,Declaration of Peace Election 2024 ,Netral,Positif
398,syndicate lecture kamis 01 februari 2024 pk 1300 1500 wib syndicate orasi bangsa sambut milu 2024 milu integritas martabat etika demokrasi politik budaya youtube live streaming,Syndicate Lecture Thursday 01 February 2024 PK 1300 1500 WIB Syndicate Orasi Nation Welcoming MILU 2024 MILU INTEGRITY INTEGRITY ETHICS OF DEMOCRACY CULTURE DEMOCRACY YOUTUBE LIVE STREAMING ,Positif,Positif
399,ganjar pranowomahfud md calon pimpin tepat indonesia beri perhati khusus daya pemuda agen ubah,Ganjar Pranowomahfud MD Prospective Leaders Exactly Indonesia Give Special Pay attention to the Power of Youth Change Agent ,Positif,Positif
400,tengah ragam budaya sambut positif luas bawah arah pimpin ganjar pranowo bimbing bijaksana mahfud md paham hormat keanekaragaman masyarakat indonesia,in the midst of a variety of positive welcome cultures under the direction of the lead leader of Ganjar Pranowo Budik Wise Mahfud MD understands the diversity of Indonesian people ,Positif,Positif
401,14 hari tuju mungut suara milu 2024 yuk cek pasti kamu daftar pilih lalu taut,14 days after miles 2024 lets check for you you will list the list then select then tear down ,Negatif,Positif
402,milu 2024 2 caleg sulut pakai ijazah palsu vonis penjara,MILU 2024 2 North Sulawesi Candidates Use Fake Diploma Prison ,Negatif,Positif
403,modal suara prabowo milu 2019 44 pilih milu prabowo 2019 pindah anis atas 20 tambah 25 pilih baru anis milu 2024jadi suara anis milu 2024 45 hitung gk pake bayar real akurat,Prabowo Milu 2019 Voice Capital 44 Select Milu Prabowo 2019 Moving Anis over 20 Add 25 Select New Anis Milu 2024 So votes Anis MILU 2024 45 CALCULATE GK NEAR PAIK REAL ,Positif,Positif
404,piket posko sama milu tahun 2024 lurah kebon jeruk,picket post with miles in 2024 Kebon Jeruk Village Chief ,Netral,Positif
405,undangundang cipta kerja berpontensi timbul rasa ketidakadilan rakyat di kaji ulang pasang pilih milu pilpres 2024,Translatedsrcms desten textLaws Create work has the potential to feel the peoples injustice in the study of Milu Pilpres 2024 ,Netral,Positif
406,karena pilih jadi cawapres terus ngambek salah besar langkah demokrat dg dukung paslon cacat konstitusi akan bukti dg hilang pilih rasional belum sdh simpatik dg demokrat jadi oposisi gue sik milu 2024 demokrat jeblok suara,Because choosing to be a vice president continues to sulk the wrong Steps of Democrats by Supporting Constitutional Defective Paslon for Evidence by Lost Rational Voters have not been sympathetic to Democrats so my opposition SIK MILU 2024 Democrats collapse Voice ,Positif,Positif
407,calon pimpin tepat indonesia ganjar pranowomahfud md menciptidakan ruang dialog buka mungkin milenial berkonantiibusi buat putus,Candidate for the right leader of Indonesia Ganjar Pranowomahfud MD created a dialogue space open may be millennials ,Positif,Positif
408,h14 milu 2024 media center tapin ganjar mahfud makin sibuk situasi makin biasa nsampaiaknya masyarakat makin mantap pilih ganjarmahfud ganjar presiden rakyat vs presiden konglomerat,H14 MILU 2024 Media Center Tapin Ganjar Mahfud is increasingly busy the situation is the more common to the people the more determined to choose Ganjarmahfud Ganjar President of the People vs President of the Conglomerate ,Positif,Positif
409,cooling system bhabinkamtibmas desa kerta mukti jelang milu 2024,Cooling System Bhabinkamtibmas Kerta Mukti Village ahead of MILU 2024 ,Netral,Positif
410,ssampaiaikan aspirasi dpr kades minta tugas milu 2024,Arriving the aspirations of the House of Representatives the village head asking for the task of MILU 2024 ,Netral,Positif
411,ganjar pranowomahfud md calon pimpin tepat indonesia tempat bangun karakter potensi generasi muda prioritas utama,Ganjar Pranowomahfud MD Prospective Leads of Indonesia Right Indonesia where the Character of Potential Youth Potential Priority Priority ,Positif,Positif
412,kemenkeu tetap gaji anggota kpps milu 2024,Kemenkeu Permanent Salaries of Milu KPPS Members 2024 ,Netral,Positif
413,cek poloshirt kerah pps panitia mungut suara milu 2024 baju seragam lengan pendek pria wanita harga rp64900 dapat shopee sekarang,Check Polo Shirt PPS College Voting Committee Election 2024 Mens Short Sleeve Uniform Shirt for Womens Price Rp 64900 Can Shopee Now ,Netral,Positif
414,sama sukses milu damai 2024,Same Success Milu Peace 2024 ,Positif,Positif
415,kpps lom kerja sdh pecat gegara pihak cakep tolol,KPPS has not worked yet fired by a stupid girl ,Negatif,Positif
416,calon pimpin tepat indonesia ganjar pranowomahfud md dorong partisipasi aktif milenial sumbang ide usul bijak,Candidate for the right leader of Indonesia Ganjar Pranowomahfud MD encourages the active participation of millennials ,Positif,Positif
417,modal suara prabowo milu 2019 44 pilih milu prabowo 2019 pindah anis atas 20 tambah 25 pilih baru anis milu 2024jadi suara anis milu 2024 45 hitung ada berani taruh bodrexenantiostop,Prabowo Milu 2019 Voice Capital 44 Select Milu Prabowo 2019 Moving Anis over 20 Add 25 New Choose Anis Milu 2024 So Voice Anis Milu 2024 45 Calculate there is brave to put Bodrexenantiostop ,Positif,Positif
418,jokowi resamai naik gaji asn tnipolri jelang milu 2024,Jokowi Resound the Asn Tnipolri salary ahead of MILU 2024 ,Netral,Positif
419,hasil milu 2024 sangat gantung penting jaga netralitas tni polri asn bin bersamasama bangun masa depan kuat dasar nilainilai demokrasi agam kaya bangsa,The results of miles 2024 are very hanging important to maintain the neutrality of the Indonesian National Police ASN Bin together ,Positif,Positif
420,kpu kabupaten gorontalo hadir rapat koordinasi siap distribusi logistik milu tahun 2024 gelar kpu provinsi gorontalo tempat hotel damhil ung kota gorontalo selasa 30012024,Gorontalo Regency KPU attended a coordination meeting ready for Logistics Milu distribution in 2024 Gorontalo Provincial KPU degree where Damhil Ung Hotel Gorontalo City Tuesday 30012024 ,Positif,Positif
421,ayokita bantu tenar ad mau jd artisdi milu 2024 mrk fitnah pak,lets help friends ad want to be an artist in the 2024 election sir sir ,Netral,Positif
422,langkah proaktif pasti aman lancar milu 2024 16746 tempat mungut suara tapis nusa tenggara timur ntt masuk kabupaten ende bimbing teknis bimtek dioranganisir kpu lodowyk fredrik jelas materi,Proactive Steps Definitely Safe Smooth MILU 2024 16746 Place of Tapis Tapis Timur Tapis NTT NTT ENTERING ENDE BUDIAN BIMTEK BIMTEK DIANGERIRANIn CPU Lodowyk Fredrik is clearly the material ,Positif,Positif
423,ganjar pranowomahfud md calon pimpin tepat indonesia kuat konsep pimpin inklusif buka peluang tiap kalang,Ganjar Pranowomahfud MD Candidates for the right Indonesia Leads Strong concept Inclusive leaders open opportunities for each frantically ,Positif,Positif
424,eros djarot sebut maju gibran milu 2024 rusak adab pilpres satu putar chaos,Eros Djarot Called Maju Gibran Milu 2024 Damaged Adab One Presidential Election Chaos ,Netral,Positif
425,pilih rasional jago paslon peluang bsr untk menang untk pilpres 2024 sptnya 02 the winner siapa menang nukang tetap ngolah kayu nelayan ttapi laut ternak ttapi ngarit rumput jangan terlalu lebih ntar hbs milu mrk pd rangkul,Choose rational champion candidates for BSR opportunities to win for the 2024 presidential election like 02 The Winner Who wins Nukang still processing fishermen wood but the sea but ngarit grass do not be too more ntar hbs milu ,Positif,Positif
426,ingat 2014 2019 prabowo juara survey kalah nyata milu 2024 ulang nah gitu aja dont worry be happy,Remember 2014 2019 Prabowo Survey Champion Lose Real Milu 2024 Repeat Well thats all Dont Worry Be Happy ,Positif,Positif
427,14 hari tuju milu serentidak rabu 14 februari 2024 wujud milu 2024 aman damai rabu 31 januari 2024,14 Days of Milu Serent Not Wednesday 14 February 2024 Form of MILU 2024 Safe Peace Wednesday 31 January 2024 ,Positif,Positif
428,maju gibran milu 2024 sebut rusak adab eros djarot pilpres 1 putar chaos,Maju Gibran Milu 2024 Call damaged Eros Djarot Pilpres 1 Putar Chaos ,Netral,Positif
429,patroli dialogis satgas preventif operasi mantap brata polres gianyar jelang milu 2024,Patrol Dialogical Task Force Preventive Operation Mantap Brata Gianyar Police Station ahead of MILU 2024 ,Netral,Positif
430,alih alih suara satu ngajak koalisi kalo menang ssampaie lupa belakang hilir ugal ugalan tetap,Instead of one voice invites a coalition if you win ssampaie forgot the back of the reckless downstream ,Positif,Positif
431,selasa 30 januari 2024 pps bolo ikut zoom meeting siap mungut hitung suara guna sikerap milu tahun 2024,Tuesday 30 January 2024 PPS Bolo joined the Zoom Meeting Ready ,Positif,Positif
432,milu 2024 papua jadi wadah jalin kerja sama antarberbagai kelompok masyarakat,MILU 2024 Papua became a forum for cooperation between various groups of people ,Netral,Positif
433,modal suara prabowo milu 2019 44 pilih milu prabowo 2019 pindah anis atas 20 tambah 25 pilih baru anis milu 2024jadi suara anis milu 2024 45 hitung jan ma oto jo anglai yuang prabowo ko,Prabowo Milu 2019 Voice Capital 44 Select Milu Prabowo 2019 Moving Anis over 20 Add 25 New Choose Anis Milu 2024 So Voice Anis Milu 2024 45 Calculate Jan Ma Oto Jo Anglai Yuang Prabowo Ko Ko ,Positif,Positif
434,calon pimpin tepat indonesia ganjar pranowomahfud md jadi cermin pimpin msampaiu dengar resap suara generasi muda,Candidates for the right leader of Indonesia Ganjar Pranowomahfud MD become a mirror to lead to the sound of the sound of the younger generation ,Positif,Positif
435,iyaa bner hnya goyah masyarakat milu lncar moga pak prabowo subianto jdi presiden ri 2024 amiinn,Yes it is only shaking the people of Milu Lncar Moga Prabowo Subianto JDI President of the Republic of Indonesia 2024 AMIINN ,Netral,Positif
436,usaha hibur surabaya sosialisasi milu 2024 videotron usaha hibur surabaya siap sukses milu 2024 gelar sosialisasi videotron ikut di via,Surabaya Entertainment Business Socialization of MILU 2024 Videotron Business Entertaining Surabaya Ready to Succeed 2024 Videotron Socialization Title Participate in Via ,Positif,Positif
437,14 hari kita tuju milu serentidak 2024 tanggal 14 februari 2024 yuk simak pesan anggota kpu betty epsilon idroos milu serentidak 2024,14 days we are aiming for Milu Serent not 2024 dated February 14 2024 lets refer to the message of KPU Betty Epsilon Idroos Milu Serenti Serent ,Netral,Positif
438,bener lbh advance kok spt 2019 blm milu udah tahu siapa menang us paling hari kemudian btw amit2 2024 moga2 ga jadi spt 2019,Really more advanced how come the 2019 is not yet Milu already know who won the US at most later BTW AMIT2 2024 I hope it doesnt become a 2019 SPT ,Positif,Positif
439,bhabinkamtibmas polsek cikarang barat polres metro bekas laksana kunjung sapa warga sosialisasi operasi nusantara cooling system tema kita wujud milu 2024 aman damai jaga satu satu bangsa,Bhabinkamtibmas West Cikarang Sector Police Station Used Metro Police like a Greeting Residents Socialization of Nusantara Operations Cooling System Themes We Form MILU 2024 AMAN PEACE SEPARATE ONE ONE Nations ,Netral,Positif
440,polsek sutera panwascam tertib apk langgar tertib milu 2024 lengkap,Sutera Panwascam Sector Police Orderly Apk Langgar Orderly 2024 Complete ,Positif,Positif
441,ganjar pranowomahfud md calon pimpin tepat indonesia tekan nilainilai solidaritas sama bangun bangsa,Ganjar Pranowomahfud MD Candidates for the right Indonesian Leaders Press the value of solidarity with the nation ,Positif,Positif
442,sosialisasi tatap muka pilih umum tahun 2024 warga rt 1 rw 3 desa bantengmati,face to face socialization select public in 2024 residents of 1 RW 3 Village Bantengmati ,Netral,Positif
443,lsi rilis hasil survei baru peta elektoral jelang milu 2024 sumatra barat sumbar,LSI Releases New Survey Results Map Electoral ahead of Milu 2024 West Sumatra West Sumatra ,Positif,Positif
444,kira milu 2024 berapa bakal mati milu negara tebak lebih 50,I guess MILU 2024 how many will die of the country of guessing more than 50 ,Positif,Positif
445,stop guna politik identitas kita lahir pimpin cerdas manyala abang,stop for politics our identity was born leading smart manyala brother ,Positif,Positif
446,sosialisasi tatap muka pilih umum tahun 2024 ibuibu dukuh gebangsewu desa bantengmati,face to face socialization select general in 2024 Ibuibu Hamlet Gebangsewu Village Bantengmati ,Positif,Positif
447,sosialisasi tatap muka pilih umum tahun 2024 warga rt4 rw 3 desa bantengmati,face to face socialization of general selection in 2024 residents of RT4 RW 3 Bantengmati Village ,Positif,Positif
448,gabung koalisi indonesia maju ahy demokrat konsisten usung ubah baik milu 2024 agus harimurti yudhoyono ketua umum partai demokrat,Join the Indonesian Coalition Maju AHY Democrats consistently changed both MILU 2024 Agus Harimurti Yudhoyono Chairperson of the Democratic Party ,Positif,Positif
449,personil bhabinkamtibmas laksana sambang dialogis ketua rt serta warga perum bwa ds mekarsari kec anyar sekaligus laksana cooling system menciptidakan situasi kondusif jelang milu 2024 wilayah hukum polsek anyar,Bhabinkamtibmas personnel like Dialogic Sambang Dialogis Chairperson and residents of Perum Bwa Ds Mekarsari Kec Anyar as well as Cooling System Create a conducive situation ahead of MILU 2024 Jurisdiction of Anyar Police Station ,Netral,Positif
450,koordinator staf khusus presiden ri ari dwipayana tegas salur bansos kait milu 2024 turut bansos program bantu masyarakat miskin dana sumber apbn,Indonesian Presidential Special Staff Coordinator Ari Dwipayana firmly Salur Bansos Kait Milu 2024 participated ,Positif,Positif
451,sekjen pdip hasto kristiyanto klaim publik ini lihat ada politisasi bansos penting elektoral milu 2024 bahkan yang terangterangan pasang stiker prabowo subiantogibran rakabuming raka bansos upa beras rakyat miskin bulog,PDIP Secretary General Hasto Kristiyanto This public claim see there is a politicization of important Electoral Milu 2024 Social Association even the bright pairs of stickers Prabowo Subiantogibran Rakabuming Raka Raka Bansos UPA UPA Rice Poor Poor Bulog Bulog ,Positif,Positif
452,utas republika agam bantu sosial bansos baik bentuk barang beras hingga bantu langsung tunai blt bagi jelang milu 2024 presiden jokowi belakang bahkan rajin turun langsung bagi bansos tiap kunjung kerja daerah lawan,Utas Republika Agam Assist Social Social Assistance Both Form of Rice Goods to Assist Direct Cash of BLT For Ahead of MILU 2024 President Jokowi Rear Even Diligently Going Directly for Social Assistance Each Opponent Regional Work ,Positif,Positif
453,komponen masyarakat papua imbau wujud milu 2024 damai aman nyaman papua momentum milu makna langkah harus lalu tiap orang papua jemput sejahtera maju impi,components of Papuan society urged the form of miles 2024 peaceful peaceful Papua Momentum MILU The meaning of the steps must be then every Papuan pickup ,Positif,Positif
454,senin 29 januari 2024 ketua divisi teknis selenggara milu lodowyk fredrik laku kunjung kerja evaluasi kesiap gudang logistik sortir lipat surat suara milu tahun 2024 kpu kabupaten ende,Monday 29 January 2024 Chairperson of the Technical Division of Milu Lodowyk Fredrik Laku Laku Work Evaluation Evaluation of Logistics Warehouse Sorting Milu Ballots in 2024 KPU Ende Regency ,Netral,Positif
455,jumlah 21889 anggota kelompok selenggara mungut suara kpps milu tahun 2024 ikut bimbing teknis bimtek mungut hitung suara laksana desakelurahan giat langsung lama 5 hari sejak 26 30 januari 2024,Total 21889 Members of the Group Corps Corps of KPPS Election in 2024 joined the technical guidance of the Bimtek Muku Calculate the vote like the Desakel Village immediately long 5 days from 26 30 January 2024 ,Negatif,Positif
456,kabupaten gunung bintang semarak sambut milu 2024,Gunung Bintang Regency Semarak Welcomes Milu 2024 ,Netral,Positif
457,calon pimpin tepat indonesia ganjar pranowomahfud md menciptidakan jaring inklusif temu generasi muda alam lebih tua,Candidate for the right leader of Indonesia Ganjar Pranowomahfud MD created an inclusive net meeting of the young generation of natural older ,Positif,Positif
458,kepala suku besar arfak dominggus mandacan ajak seluruh komponen masyarakat provinsi papua barat jaga situasi kamtibmas tetap kondusif jelang laksana milu 2024 tanggal 14 februari dekat samasama jaga aman tertib kata dominggu,Head of the Great Tribal Arfak Dominggus Mandacan invited all components of the people of West Papua Province to keep the Kamtibmas situation conducive ahead ,Positif,Positif
459,jadi gimana guys kalian ada milik resah sama wkwkwk makin kesini makin kesana jujur ken tau ni yang pikir,So what do you guys have you belong to being restless with wkwkwk the more here the more honest you know ,Positif,Positif
460,modal suara prabowo milu 2019 44 masa milu 2019 pindah anis atas 20 tambah 25 pilih baru anis milu 2024jadi suara anis milu 2024 45 hitung ada berani taruh bodrexenantiostop,Prabowo Milu 2019 Voice Capital 44 MILU 2019 MOVED ANIS over 20 Add 25 New Select Anis Milu 2024 So Voice Anis Milu 2024 45 Calculate there is brave to put Bodrexenantiostop ,Positif,Positif
461,tanggal coblos makin dekat penting pilih tahu informasi perihal profil caleg akan pilih milu 2024 begini cara,The date the voting is getting closer selecting the information about the profile of the candidates you will select MILU 2024 ,Netral,Positif
462,ganjar pranowomahfud md calon pimpin tepat indonesia bangun momentum positif lalu libat aktif dialog generasi muda,Ganjar Pranowomahfud MD Candidates for the Right Indonesia Leads to Build Positive Momentum and then Active Dialogue Young Generation Dialogue ,Positif,Positif
463,tuju sih biar pak mahfud fokus sama ksampaianye2 milu 2024 datang,aimed so that Mr Mahfud focused on the giving up to 2 miles of 2024 to come ,Netral,Positif
464,sedang ramai besar gaji kpps milu 2024,There is a large crowded salary KPPS MILU 2024 ,Positif,Positif
465,satgas damai cartenz libat aman milu papua satgas damai cartenz biasa tugas berantas kelompok kriminal senjata kkb kelompok kriminal politik kkp papua kini satgas damai cartenz 2024 siaga penuh bantu polda papua,Damai Task Force Cartenz Libat Safe Papua Papua Peace Task Force Cartenz Ordinary Task Eradication of Criminal Group KKB Political Criminal Group KKP Papua is now the Peace Task Force Cartenz 2024 Alert Assisting Papua Regional Police ,Negatif,Positif
466,dekat coblos pelan2 dukung dr paslon 01 03 pindah dukung paslon 02sdh asa 2 paslon tsb kalah paslon 02 menang milu 2024 aamiin yra,Near the voting slowly supports Dr Paslon 01 03 Moving Supporting Paslon 02SDH ASA 2 Paslon Lose Paslon 02 Wins 2024 Aamiin YRA ,Positif,Positif
467,emang percaya lembaga survei milu 2024 inisaya rasa ada lah mungkin paslon 02 aja percaya rakyat bukan partai elit partai paling 1 juta an masih yakin bisa ikut putar dua capres 02 suara yang minim,It really believes that the 2024 MILU Survey Institute is that it feels that there may be Paslon 02 just believe that the people are not elite parties at most 1 million they are still confident that they can play two minimal votes 02 presidential candidates ,Positif,Positif
468,pps jragung ikut giat packing surat suara milu 2024 sama ppk karangawen kpu denak gudang kpu desa pundenarum selasa 30 juni 2024,PPS Jragung joined the Packing Milu 2024 Ballot Packing with PPK Karangawen KPU Denak Warehouse KPU Pundenarum Village Tuesday 30 June 2024 ,Netral,Positif
469,personil polsek cipondoh pimpin pawas hari kanit lantas polsek cipondoh akp sunyata laksana piket posko ppk rangka aman kece logistik milu 2024 gudang ppk gor gondrong kel gondrong kec cipondoh kota tangerang selasa 30 januari 2024,Cipondoh Sector Police Personnel Lead Pawas Hari Kanit Lantas Cipondoh Sector Police AKP Sunyata like Piket PPK Post Post Safer Logistics Milu 2024 PPK GOR Gondrong Gondrong Gondrong Gondrong Kel Gondrong Kec Cipondoh City Tangerang City Tuesday 30 January 2024 ,Netral,Positif
470,panwaslucam sukaraja laku awas kait tahap logistik milu 2024,Panwaslucam Sukaraja Laku Awas Kait Logistics Stage MILU 2024 ,Netral,Positif
471,calon pimpin tepat indonesia ganjar pranowomahfud md tawar kerangka pimpin dapat rangkul ragam kreativitas milenial,Candidate for the Right Leads of Indonesia Ganjar Pranowomahfud MD Tawar Framework Leaders can embrace Millennial Creativity Variety ,Positif,Positif
472,10 tahun jabat naik cuma 3x pun pas milu 2015 milu 2019 2024,10 years of jabat rose only 3x even in the 2015 mile 2019 2024 ,Positif,Positif
473,waspada 3x propaganda bangun paslon 02 menang putar pertama lembaga survei bayaranpartisan klaim menang curang milu 2024 atas kertas paslon dukung mayoritas rakyat bukan oligarki harus menang,Waspada 3x Propaganda Build Paslon 02 Winning First Rotating Survey Institute for Payment of Claims Winning Milu 2024 for Paper Paslon Supports the majority of the people instead of oligarchy must win ,Positif,Positif
474,siap milu 2024 bupati ipuk pimpin apel siaga linmas se kabupaten banyuwangi lengkap klik dilam klik link dibio,Translatedsrcjw desten textReady to follow 2024 Regent Ikuk Pimpin apple Siaga Linmas S Regency Full Clicking Clicking Libio Link ,Positif,Positif
475,2024 kaca 2019 tidak mau jadi bikin tidakut buat partisipasi milu jadi bikin enjoy aja lalu antisipasi jadi lalu kerja cermat kerja efektif tidak paksa fisik,2024 Glass 2019 does not want to make it not for the participation of miles so it makes it enjoy and then anticipate so work carefully work effectively not forced physical ,Positif,Positif
476,semkin yakin gua prabowogibran bakal menang satu putar milu 2024,The more sure Prabowo Gibran will win one round of 2024 ,Positif,Positif
477,ganjar pranowomahfud md calon pimpin tepat indonesia tunjuk ubah positif mulai pemuda gerak,Ganjar Pranowomahfud MD Candidate Leada Indonesia Exactly pointing positive changes from Youth Motion ,Positif,Positif
478,jajar unitsamapta pimpin panit 1 samapta aiptu yudho topolasono sh laksana pantau wilayah patroli dialogis tempat wilayah hukum rangka jaga situasi kamtibmas kondusif jelang milu 2024 selasa 30 januari 2024 1000 wib,Jajar Unitsamapta led Panit 1 Samapta Aiptu Yudho Topolasono SH like Monitoring Dialogic Patrol Area Place where the jurisdiction of the Kamtibmas conducive situation was ahead of MILU 2024 Tuesday 30 January 2024 1000 WIB ,Netral,Positif
479,sih semua sosamaed thread politik isi buzzer semua ga sih rasa risih hal kadang ga langsung nyebarin banyak berita palsu kalo ada yang mau sharing yukk sini anti buzzer,In all social media threads the contents of the buzzer are all not uncomfortable sometimes it doesnt spread a lot of fake news if anyone wants to share lets get anti buzzer here ,Negatif,Positif
480,10 ribu kerja rentan ppu terima bpjs ketenatidakerjaan,10 thousand vulnerable PPU workers receive BPJS Employment ,Negatif,Positif
481,langkah awal bangun lanjut oikn gelar bahas konsep awal vlr sdgs 2024,The first step to build further the title of discussing the initial concept of vlr sdgs 2024 ,Positif,Positif
